id,priority_date,cite_number
CN-111213350-A,02/07/2019,62.0
CN-110687821-B,14/11/2019,11.0
CN-111316303-A,02/07/2019,46.0
CN-111106942-B,13/12/2019,11.0
CN-110765200-B,05/09/2019,11.0
CN-111480157-A,05/09/2019,37.0
CN-110958117-A,26/09/2018,39.0
CN-109005036-B,06/06/2017,13.0
CN-112348672-B,07/08/2019,11.0
CN-111213147-A,02/07/2019,35.0
CN-110189121-B,15/04/2019,11.0
CN-111544890-A,14/03/2018,49.0
CN-110785981-A,29/05/2018,37.0
CN-110086626-B,22/04/2019,11.0
CN-110636492-A,22/06/2018,34.0
CN-112106336-A,06/06/2018,34.0
CN-111448781-A,11/07/2019,31.0
CN-113728351-A,20/02/2019,28.0
CN-110914852-A,05/08/2017,46.0
CN-116527696-A,05/09/2019,29.0
CN-111183625-A,05/09/2019,29.0
CN-110915164-A,03/04/2019,32.0
CN-110675144-A,03/07/2018,30.0
CN-109768954-B,09/11/2017,11.0
CN-109544129-B,26/10/2018,11.0
CN-111213168-A,11/09/2019,28.0
CN-112492006-A,31/10/2018,38.0
CN-111801910-A,15/12/2017,34.0
CN-111052120-A,24/08/2017,72.0
CN-111868689-A,27/03/2018,30.0
CN-110930149-A,07/12/2018,33.0
CN-112862612-A,28/06/2019,28.0
CN-110959281-A,05/08/2017,46.0
CN-110914850-A,05/08/2017,46.0
CN-112005236-A,24/04/2018,29.0
CN-109377216-B,07/08/2018,11.0
CN-111434085-A,16/11/2018,33.0
CN-109697365-B,20/12/2018,11.0
CN-109067724-B,24/07/2018,11.0
CN-111108478-A,11/07/2019,27.0
CN-110741373-A,07/06/2017,55.0
CN-110741372-A,07/06/2017,55.0
CN-110933953-A,05/05/2017,40.0
CN-111566649-A,21/12/2018,30.0
CN-110754061-A,14/06/2017,42.0
CN-108881428-B,13/06/2018,11.0
CN-108964982-B,13/06/2018,11.0
CN-110574059-A,11/04/2017,65.0
CN-110546664-A,11/04/2017,65.0
CN-110546636-A,25/04/2017,90.0
CN-110677485-A,30/09/2019,27.0
CN-110520881-A,07/04/2017,42.0
CN-112313683-A,17/04/2018,26.0
CN-110692214-A,02/06/2017,34.0
