id,priority_date,cite_number,assignee
GB-2612769-A,03/11/2021,,Vodafone Group Services Ltd
GB-2603030-A,20/01/2021,,Fujitsu Ltd
GB-2611325-A,30/09/2021,,Nchain Licensing Ag
GB-2611321-A,29/09/2021,,Quantum Blockchain Tech Plc
GB-2611084-A,27/09/2021,,Custodiex Ltd
GB-2603589-A,08/12/2020,,Ibm
GB-2607593-A,07/06/2021,,British Telecomm
GB-2607282-A,21/05/2021,,The Blockhouse Tech Limited
GB-2606731-A,18/05/2021,,Goview Today Ltd
GB-2606196-A,29/04/2021,,Nchain Licensing Ag
GB-2606194-A,29/04/2021,,Nchain Licensing Ag
GB-2607862-A,20/04/2021,,Uvue Ltd
GB-2601998-A,10/12/2020,,Taal Dit Gmbh
GB-2601539-A,04/12/2020,,Nchain Holdings Ltd
GB-2602443-A,30/10/2020,,Rita Kanu Ifeyinwa
GB-2600140-A,22/10/2020,,Sita Information Networking Computing Uk Ltd
GB-2599408-A,30/09/2020,,Nchain Holdings Ltd
GB-2599398-A,30/09/2020,,Nchain Holdings Ltd
GB-2599168-A,29/09/2020,,British Telecomm
GB-2612798-A,11/11/2021,,Ecoradlt Ltd
GB-2598714-A,24/08/2020,,Nchain Holdings Ltd
GB-2596334-A,25/06/2020,,British Telecomm
GB-2596335-A,25/06/2020,,British Telecomm
GB-2596096-A,17/06/2020,,Nchain Holdings Ltd
GB-2595888-A,09/06/2020,,British Telecomm
GB-2594328-A,24/04/2020,,Novosound Ltd
GB-2593725-A,31/03/2020,,British Telecomm
GB-2592211-A,19/02/2020,,Nchain Holdings Ltd
GB-2591805-A,07/02/2020,,Beaconsoft Ltd
GB-2596502-A,06/01/2020,,British Telecomm
GB-2588812-A,08/11/2019,,Jitsuin Ltd
GB-2584159-A,24/05/2019,,Datahop Labs Ltd
GB-2584816-A,27/03/2019,,"Roper Joanne, Pony Sam"
GB-2582309-A,18/03/2019,,Fumarii Tech Ltd
GB-2609275-A,30/06/2021,,Keung Ng Chun
GB-2615598-A,15/02/2022,,Nchain Licensing Ag
GB-2609720-A,31/05/2021,,Univ Xidian
GB-2610783-A,19/05/2020,,Mahammad Sohail
GB-2596941-A,09/04/2019,,"David Tucker Luke, John Pickard Elliott"
GB-2596031-A,04/12/2018,,Truu Ltd
GB-2569839-A,08/12/2017,,Ecocooling Ltd
GB-2572343-A,26/03/2018,,Kazimierz Szymanek Dariusz
