id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2608590-A,Digital asset ownership authentication method and system ,John Ovenden Alan,John Ovenden Alan,28/06/2021,28/06/2021,11/01/2023,,https://patents.google.com/patent/GB2608590A/en,
GB-2600769-A,Merkle proof entity ,Nchain Holdings Ltd,"Zhang Wei, Ammar Bassem, Owen Davies Jack, Steven Wright Craig",10/11/2020,10/11/2020,11/05/2022,,https://patents.google.com/patent/GB2600769A/en,
GB-2600770-A,Merkle proof entity ,Nchain Holdings Ltd,"Zhang Wei, Ammar Bassem, Owen Davies Jack, Steven Wright Craig",10/11/2020,10/11/2020,11/05/2022,,https://patents.google.com/patent/GB2600770A/en,
GB-2598942-A,Blockchain-based system and method ,Nchain Holdings Ltd,Pagani Alessio,21/09/2020,21/09/2020,23/03/2022,,https://patents.google.com/patent/GB2598942A/en,
GB-2597927-A,Connecting to the blockchain network ,Nchain Holdings Ltd,"Ceren Tartan Chloe, Steven Wright Craig",05/08/2020,05/08/2020,16/02/2022,,https://patents.google.com/patent/GB2597927A/en,
GB-2597672-A,Blockchain tokens ,Taal Dit Gmbh,"Stanislav, (Stas) Trock",29/07/2020,29/07/2020,09/02/2022,,https://patents.google.com/patent/GB2597672A/en,
GB-2610072-A,Data sharing via distributed ledgers ,Capital One Services Llc,"Kuzin Taras, Tang Qiaochu, Frensch Steve, M Santoro John",04/06/2019,04/06/2020,22/02/2023,,https://patents.google.com/patent/GB2610072A/en,
GB-2593933-A,Anti-theft system for bikes ,"Shapiro Graham, Reggie Sensor Ltd",Shapiro Graham,10/04/2020,10/04/2020,13/10/2021,,https://patents.google.com/patent/GB2593933A/en,
GB-2592980-A,Blockchain transaction double spend proof ,Nchain Holdings Ltd,"Ceren Tartan Chloe, Mackay Alexander, Steven Wright Craig",13/03/2020,13/03/2020,15/09/2021,,https://patents.google.com/patent/GB2592980A/en,
GB-2592024-A,Methods and apparatus for controlling access to personal data ,Cufflink Io Ltd,Alan Williams William,12/02/2020,12/02/2020,18/08/2021,,https://patents.google.com/patent/GB2592024A/en,
GB-2606526-A,Multi-party blockchain address scheme ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig",10/05/2021,10/05/2021,16/11/2022,,https://patents.google.com/patent/GB2606526A/en,
GB-2590937-A,Single-use tokens ,Nchain Holdings Ltd,"Ammar Bassem, Zhang Wei, Steven Wright Craig",08/01/2020,08/01/2020,14/07/2021,,https://patents.google.com/patent/GB2590937A/en,
GB-2590390-A,Management of a blockchain ,Nokia Technologies Oy,"Signorini Matteo, Pontecorvi Matteo",16/12/2019,16/12/2019,30/06/2021,,https://patents.google.com/patent/GB2590390A/en,
GB-2589090-A,Identity verification protocol using blockchain transactions ,Nchain Holdings Ltd,"Joseph Daniel, Steven Wright Craig",15/11/2019,15/11/2019,26/05/2021,,https://patents.google.com/patent/GB2589090A/en,
GB-2588660-A,Request and response protocol using blockchain transactions ,Nchain Holdings Ltd,"Mackay Alexander, Tartan Chloe, Wahab Jad, Serguieva Antoaneta, Steven Wright Craig",31/10/2019,31/10/2019,05/05/2021,,https://patents.google.com/patent/GB2588660A/en,
GB-2587202-A,Allocation of a digital asset using blockchain transactions ,Nchain Holdings Ltd,"Tartan Chloe, Steven Wright Craig",17/09/2019,17/09/2019,24/03/2021,,https://patents.google.com/patent/GB2587202A/en,
GB-2581860-A,Blockchain wallet ,Steel Software Solutions Ltd,Amin Nurul,16/07/2019,16/07/2019,02/09/2020,,https://patents.google.com/patent/GB2581860A/en,
GB-2584347-A,Inter-ontology mapping process for distributed ledger technologies ,British Telecomm,Pioli Moro Evandro,31/05/2019,31/05/2019,02/12/2020,,https://patents.google.com/patent/GB2584347A/en,
